id,file_name,is_malicious
0,201704_0,1
1,201704_1,1
2,201704_2,1
3,201704_3,1
4,201704_4,1
5,201704_5,1
6,201704_6,0
7,201704_7,1
8,201704_8,1
9,201704_9,1
10,201704_10,1
11,201704_11,0
12,201704_12,1
13,201704_13,0
14,201704_14,0
15,201704_15,1
16,201704_16,0
17,201704_17,1
18,201704_18,1
19,201704_19,0
20,201704_20,1
21,201704_21,0
22,201704_22,1
23,201704_23,0
24,201704_24,0
25,201704_25,0
26,201704_26,1
27,201704_27,1
28,201704_28,1
29,201704_29,1
30,201704_30,0
31,201704_31,0
32,201704_32,1
33,201704_33,1
34,201704_34,1
35,201704_35,1
36,201704_36,1
37,201704_37,0
38,201704_38,0
39,201704_39,0
40,201704_40,1
41,201704_41,1
42,201704_42,0
43,201704_43,1
44,201704_44,1
45,201704_45,1
46,201704_46,1
47,201704_47,1
48,201704_48,0
49,201704_49,1
50,201704_50,0
51,201704_51,1
52,201704_52,0
53,201704_53,1
54,201704_54,1
55,201704_55,1
56,201704_56,1
57,201704_57,0
58,201704_58,1
59,201704_59,0
60,201704_60,1
61,201704_61,1
62,201704_62,1
63,201704_63,1
64,201704_64,0
65,201704_65,1
66,201704_66,1
67,201704_67,0
68,201704_68,1
69,201704_69,0
70,201704_70,1
71,201704_71,0
72,201704_72,1
73,201704_73,1
74,201704_74,0
75,201704_75,1
76,201704_76,1
77,201704_77,0
78,201704_78,0
79,201704_79,1
80,201704_80,1
81,201704_81,1
82,201704_82,1
83,201704_83,0
84,201704_84,1
85,201704_85,1
86,201704_86,0
87,201704_87,0
88,201704_88,1
89,201704_89,1
90,201704_90,1
91,201704_91,0
92,201704_92,1
93,201704_93,1
94,201704_94,1
95,201704_95,0
96,201704_96,0
97,201704_97,1
98,201704_98,0
99,201704_99,1
100,201704_100,1
101,201704_101,1
102,201704_102,1
103,201704_103,0
104,201704_104,0
105,201704_105,1
106,201704_106,1
107,201704_107,1
108,201704_108,1
109,201704_109,1
110,201704_110,0
111,201704_111,1
112,201704_112,0
113,201704_113,1
114,201704_114,0
115,201704_115,1
116,201704_116,1
117,201704_117,0
118,201704_118,0
119,201704_119,0
120,201704_120,0
121,201704_121,1
122,201704_122,0
123,201704_123,1
124,201704_124,1
125,201704_125,0
126,201704_126,1
127,201704_127,0
128,201704_128,0
129,201704_129,1
130,201704_130,0
131,201704_131,0
132,201704_132,0
133,201704_133,0
134,201704_134,0
135,201704_135,1
136,201704_136,1
137,201704_137,1
138,201704_138,1
139,201704_139,1
140,201704_140,1
141,201704_141,1
142,201704_142,0
143,201704_143,1
144,201704_144,1
145,201704_145,0
146,201704_146,0
147,201704_147,1
148,201704_148,0
149,201704_149,0
150,201704_150,1
151,201704_151,1
152,201704_152,1
153,201704_153,1
154,201704_154,1
155,201704_155,1
156,201704_156,1
157,201704_157,0
158,201704_158,1
159,201704_159,1
160,201704_160,1
161,201704_161,1
162,201704_162,0
163,201704_163,0
164,201704_164,1
165,201704_165,1
166,201704_166,1
167,201704_167,1
168,201704_168,0
169,201704_169,1
170,201704_170,1
171,201704_171,0
172,201704_172,1
173,201704_173,1
174,201704_174,1
175,201704_175,1
176,201704_176,0
177,201704_177,0
178,201704_178,1
179,201704_179,1
180,201704_180,1
181,201704_181,0
182,201704_182,1
183,201704_183,0
184,201704_184,0
185,201704_185,1
186,201704_186,1
187,201704_187,0
188,201704_188,1
189,201704_189,1
190,201704_190,1
191,201704_191,1
192,201704_192,1
193,201704_193,0
194,201704_194,0
195,201704_195,0
196,201704_196,0
197,201704_197,1
198,201704_198,1
199,201704_199,1
200,201704_200,1
201,201704_201,1
202,201704_202,1
203,201704_203,1
204,201704_204,0
205,201704_205,1
206,201704_206,1
207,201704_207,0
208,201704_208,1
209,201704_209,1
210,201704_210,0
211,201704_211,1
212,201704_212,1
213,201704_213,1
214,201704_214,0
215,201704_215,1
216,201704_216,1
217,201704_217,1
218,201704_218,1
219,201704_219,1
220,201704_220,1
221,201704_221,1
222,201704_222,1
223,201704_223,1
224,201704_224,1
225,201704_225,1
226,201704_226,1
227,201704_227,1
228,201704_228,1
229,201704_229,1
230,201704_230,0
231,201704_231,1
232,201704_232,1
233,201704_233,1
234,201704_234,1
235,201704_235,1
236,201704_236,0
237,201704_237,1
238,201704_238,1
239,201704_239,0
240,201704_240,0
241,201704_241,1
242,201704_242,1
243,201704_243,0
244,201704_244,1
245,201704_245,1
246,201704_246,1
247,201704_247,1
248,201704_248,1
249,201704_249,0
250,201704_250,1
251,201704_251,0
252,201704_252,1
253,201704_253,1
254,201704_254,0
255,201704_255,0
256,201704_256,1
257,201704_257,0
258,201704_258,1
259,201704_259,1
260,201704_260,1
261,201704_261,0
262,201704_262,1
263,201704_263,0
264,201704_264,1
265,201704_265,1
266,201704_266,1
267,201704_267,1
268,201704_268,0
269,201704_269,0
270,201704_270,1
271,201704_271,0
272,201704_272,1
273,201704_273,1
274,201704_274,1
275,201704_275,1
276,201704_276,1
277,201704_277,0
278,201704_278,0
279,201704_279,0
280,201704_280,1
281,201704_281,1
282,201704_282,1
283,201704_283,0
284,201704_284,1
285,201704_285,1
286,201704_286,1
287,201704_287,1
288,201704_288,1
289,201704_289,1
290,201704_290,0
291,201704_291,0
292,201704_292,1
293,201704_293,1
294,201704_294,1
295,201704_295,0
296,201704_296,1
297,201704_297,0
298,201704_298,1
299,201704_299,0
300,201704_300,0
301,201704_301,1
302,201704_302,1
303,201704_303,1
304,201704_304,1
305,201704_305,1
306,201704_306,1
307,201704_307,1
308,201704_308,0
309,201704_309,0
310,201704_310,1
311,201704_311,0
312,201704_312,1
313,201704_313,1
314,201704_314,0
315,201704_315,1
316,201704_316,0
317,201704_317,1
318,201704_318,0
319,201704_319,1
320,201704_320,1
321,201704_321,1
322,201704_322,1
323,201704_323,1
324,201704_324,1
325,201704_325,0
326,201704_326,1
327,201704_327,0
328,201704_328,1
329,201704_329,0
330,201704_330,0
331,201704_331,1
332,201704_332,1
333,201704_333,0
334,201704_334,0
335,201704_335,1
336,201704_336,1
