epoch,lr,memory,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
0,4.010829798062332e-05,2599395840.0,9,,,,0.6842454671859741,,,,,,,,,,
0,4.048260234412737e-05,2599436800.0,19,,,,0.6792902946472168,,,,,,,,,,
0,4.112403985345736e-05,2599477760.0,29,,,,0.7124930024147034,,,,,,,,,,
0,4.2032250348711386e-05,2599518720.0,39,,,,0.7121771574020386,,,,,,,,,,
0,4.320673178881407e-05,2599559680.0,49,,,,0.7098238468170166,,,,,,,,,,
0,4.4646832975558937e-05,2599600640.0,59,,,,0.7057727575302124,,,,,,,,,,
0,4.635174263967201e-05,2599641600.0,69,,,,0.7011659145355225,,,,,,,,,,
0,,,73,,,,,,,,0.5386736989021301,0.4971464276313782,0.6968736052513123,0.6926733255386353,0.540122926235199,0.9818065762519836,nan
0,4.8320518544642255e-05,2599684096.0,79,,,,0.687922477722168,,,,,,,,,,
0,5.055205838289112e-05,2599725056.0,89,,,,0.6885055303573608,,,,,,,,,,
0,5.304512524162419e-05,2599766016.0,99,,,,0.6865794062614441,,,,,,,,,,
0,5.579832577495836e-05,2599806976.0,109,,,,0.6835976243019104,,,,,,,,,,
0,5.881012475583702e-05,2599847936.0,119,,,,0.6801280975341797,,,,,,,,,,
0,6.207884871400893e-05,2599888896.0,129,,,,0.6748472452163696,,,,,,,,,,
0,6.560267502209172e-05,2599929856.0,139,,,,0.6685740947723389,,,,,,,,,,
0,,,147,,,,,,,,0.459889680147171,0.5024172067642212,0.0,0.6909692287445068,0.0,0.0,nan
0,,,147,0.5121517181396484,0.27900969982147217,0.6698660850524902,,0.6145778298377991,0.7360852956771851,nan,,,,,,,
1,6.937963917152956e-05,2599367680.0,149,,,,0.6605362296104431,,,,,,,,,,
1,7.340763841057196e-05,2599408640.0,159,,,,0.6492505073547363,,,,,,,,,,
1,7.768443174427375e-05,2599449600.0,169,,,,0.6288323998451233,,,,,,,,,,
1,8.220763265853748e-05,2599490560.0,179,,,,0.7867651581764221,,,,,,,,,,
1,8.697472367202863e-05,2599531520.0,189,,,,0.770913302898407,,,,,,,,,,
1,9.198304178426042e-05,2599572480.0,199,,,,0.7476190328598022,,,,,,,,,,
1,9.722980757942423e-05,2599613440.0,209,,,,0.7322423458099365,,,,,,,,,,
1,0.00010271209612255916,2599654400.0,219,,,,0.7202681303024292,,,,,,,,,,
1,,,221,,,,,,,,0.459889680147171,0.49742627143859863,0.0,0.6914814114570618,0.0,0.0,nan
1,0.00010842684423550963,2599695360.0,229,,,,0.6728691458702087,,,,,,,,,,
1,0.00011437087960075587,2599736320.0,239,,,,0.672756016254425,,,,,,,,,,
1,0.00012054087710566819,2599777280.0,249,,,,0.6699470281600952,,,,,,,,,,
1,0.00012693341705016792,2599818240.0,259,,,,0.6653854250907898,,,,,,,,,,
