epoch,lr,memory,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
0,4.010829798062332e-05,2599394304.0,9,,,,0.689946174621582,,,,,,,,,,
0,4.048260234412737e-05,2599435264.0,19,,,,0.6860946416854858,,,,,,,,,,
0,4.112403985345736e-05,2599476224.0,29,,,,0.7045714855194092,,,,,,,,,,
0,4.2032250348711386e-05,2599517184.0,39,,,,0.7041411399841309,,,,,,,,,,
0,4.320673178881407e-05,2599558144.0,49,,,,0.7023252248764038,,,,,,,,,,
0,4.4646832975558937e-05,2599599104.0,59,,,,0.699689507484436,,,,,,,,,,
0,4.635174263967201e-05,2599640064.0,69,,,,0.6962741613388062,,,,,,,,,,
0,,,73,,,,,,,,0.5276979804039001,0.5137773156166077,0.6123296022415161,0.6929228901863098,0.5499915480613708,0.6906054019927979,nan
0,4.8320518544642255e-05,2599682560.0,79,,,,0.6926853656768799,,,,,,,,,,
0,5.055205838289112e-05,2599723520.0,89,,,,0.6927859783172607,,,,,,,,,,
0,5.304512524162419e-05,2599764480.0,99,,,,0.6909345388412476,,,,,,,,,,
0,5.579832577495836e-05,2599805440.0,109,,,,0.6885011196136475,,,,,,,,,,
0,5.881012475583702e-05,2599846400.0,119,,,,0.686026930809021,,,,,,,,,,
0,6.207884871400893e-05,2599887360.0,129,,,,0.6819596290588379,,,,,,,,,,
0,6.560267502209172e-05,2599928320.0,139,,,,0.6774001121520996,,,,,,,,,,
0,,,147,,,,,,,,0.459889680147171,0.5295140147209167,0.0,0.6912402510643005,0.0,0.0,nan
0,,,147,0.5317671298980713,0.3811013102531433,0.6763126254081726,,0.6318597197532654,0.7274935841560364,nan,,,,,,,
1,6.937963917152956e-05,2599366144.0,149,,,,0.6705945730209351,,,,,,,,,,
1,7.340763841057196e-05,2599407104.0,159,,,,0.6590503454208374,,,,,,,,,,
1,7.768443174427375e-05,2599448064.0,169,,,,0.6388422846794128,,,,,,,,,,
1,8.220763265853748e-05,2599489024.0,179,,,,0.772788941860199,,,,,,,,,,
1,8.697472367202863e-05,2599529984.0,189,,,,0.7575188279151917,,,,,,,,,,
1,9.198304178426042e-05,2599570944.0,199,,,,0.7350713014602661,,,,,,,,,,
1,9.722980757942423e-05,2599611904.0,209,,,,0.720798909664154,,,,,,,,,,
1,0.00010271209612255916,2599652864.0,219,,,,0.7110288143157959,,,,,,,,,,
1,,,221,,,,,,,,0.459889680147171,0.5443546175956726,0.0,0.6916500926017761,0.0,0.0,nan
1,0.00010842684423550963,2599693824.0,229,,,,0.6803306937217712,,,,,,,,,,
1,0.00011437087960075587,2599734784.0,239,,,,0.6801843047142029,,,,,,,,,,
1,0.00012054087710566819,2599775744.0,249,,,,0.6778683662414551,,,,,,,,,,
1,0.00012693341705016792,2599816704.0,259,,,,0.6745645403862,,,,,,,,,,
1,0.00013354493421502411,2599857664.0,269,,,,0.6689170598983765,,,,,,,,,,
1,0.00014037173241376877,2599898624.0,279,,,,0.6615651845932007,,,,,,,,,,
1,0.00014741001359652728,2599939584.0,289,,,,0.6473326683044434,,,,,,,,,,
1,,,295,,,,,,,,0.459889680147171,0.5511530637741089,0.0,0.6893366575241089,0.0,0.0,nan
1,,,295,0.5123111009597778,0.4859126806259155,0.47139772772789,,0.869108259677887,0.32340508699417114,nan,,,,,,,
2,0.0001546558632981032,2599374336.0,299,,,,0.6194133758544922,,,,,,,,,,
2,0.0001621052360860631,2599415296.0,309,,,,0.5384032726287842,,,,,,,,,,
2,0.00016975399921648204,2599456256.0,319,,,,0.2970584034919739,,,,,,,,,,
2,0.00017759787442628294,2599497216.0,329,,,,1.2828667163848877,,,,,,,,,,
2,0.00018563249614089727,2599538176.0,339,,,,0.8673092722892761,,,,,,,,,,
2,0.00019385339692234993,2599579136.0,349,,,,0.7647387981414795,,,,,,,,,,
2,0.00020225597836542875,2599620096.0,359,,,,0.7328128814697266,,,,,,,,,,
2,0.00021083558385726064,2599661056.0,369,,,,0.667197585105896,,,,,,,,,,
2,,,369,,,,,,,,0.459889680147171,0.5623104572296143,0.0,0.6909113526344299,0.0,0.0,nan
2,0.00021958741126582026,2599702016.0,379,,,,0.671237587928772,,,,,,,,,,
2,0.00022850660025142133,2599742976.0,389,,,,0.6701565384864807,,,,,,,,,,
2,0.00023758817405905575,2599783936.0,399,,,,0.6670560836791992,,,,,,,,,,
2,0.00024682708317413926,2599824896.0,409,,,,0.6608654260635376,,,,,,,,,,
2,0.0002562181616667658,2599865856.0,419,,,,0.652795672416687,,,,,,,,,,
2,0.0002657561853993684,2599906816.0,429,,,,0.6394295692443848,,,,,,,,,,
2,0.0002754358574748039,2599947776.0,439,,,,0.615524172782898,,,,,,,,,,
2,,,443,,,,,,,,0.459889680147171,0.5415968298912048,0.0,0.6892096996307373,0.0,0.0,nan
2,,,443,0.28113627433776855,0.28206679224967957,0.13189421594142914,,0.3507634699344635,0.08121667057275772,nan,,,,,,,
3,0.0002852517645806074,2599382528.0,449,,,,0.5500304698944092,,,,,,,,,,
3,0.00029519846430048347,2599423488.0,459,,,,0.3497520983219147,,,,,,,,,,
3,0.00030527039780281484,2599464448.0,469,,,,3.26462984085083,,,,,,,,,,
